,ID,Non_combust_wt_%,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Total_weight_(kg),aluminium_cans,aluminium_recyclable,batteries,bottles_cds,bottles_wine_and_spirits,cardboard,ceramics,drinkbags,electrical_items_and_peripherals_(incl_tvs),energy_kWh_per_kg,eps,feminine_hygiene,flexibles_film,food,hdpe_bottles,jars,lpb,nappies,other,other_glass,other_metal,other_organics,other_plastic,other_sanitary_waste,paper,pet_bottles,plastic_bags,pp,steel_cans,textiles,total_energy_kWh
105,137_V,0.2026431718061674,0.0,0.2202643171806168,0.5770925110132159,0.45399999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23600000000000002,0.0,0.0,0.092,0.0,0.0
106,138_V,0.4815848214285714,0.3152901785714285,0.003348214285714286,0.19977678571428573,3.5839999999999996,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.43,0.0,0.17,0.674,0.0,1.13,0.0,0.0,0.0,0.0,0.07,0.0,0.012,0.046,0.0,0.0,0.986,0.0,4.23
107,139_V,0.08429943689963564,0.9065915866180856,0.0,0.0091089764822789,12.075999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.34,0.0,10.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.6779999999999999,0.0,34.42
108,140_V,0.1099195710455764,0.0,0.1099195710455764,0.7801608579088471,0.746,0.08199999999999999,0.0,0.0,0.0,0.0,0.055999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.27399999999999997,0.0,0.0,0.188,0.0,0.024,0.0,0.0,0.0
109,141_V,0.025691699604743084,0.94532279314888,0.007905138339920948,0.021080368906455864,3.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.024,0.024,0.0,0.01,0.078,0.0,9.2
110,142_V,0.16049382716049382,0.4567901234567902,0.2407407407407408,0.14197530864197533,0.972,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.124,0.23399999999999999,1.91
111,143_V,0.029469548133595286,0.9214145383104126,0.0,0.04911591355599215,3.0540000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.048,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934,0.0,0.0,0.0,0.102,0.0,0.0,0.09,0.0,9.19
112,144_V,0.08771929824561403,0.8743480322427691,0.02038880986249407,0.017543859649122806,4.218,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.0,2.83,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.086,3.688,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.126,0.0,11.94
113,145_V,0.0,0.9725799750727048,0.0,0.02742002492729539,4.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.013999999999999999,0.0,0.11800000000000001,0.0,0.0,4.6819999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.02
114,146_V,0.0,0.7123015873015872,0.0,0.28769841269841273,1.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.096,0.0,0.026000000000000002,0.0,0.0,0.718,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.16,0.0,0.0,0.0,0.0,2.88
115,147_V,0.4415094339622641,0.0,0.10943396226415096,0.4490566037735849,0.53,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.057999999999999996,0.11599999999999999,0.0,0.0,0.076,0.0,0.0
116,148_V,0.26049999999999995,0.6759999999999999,0.0075,0.055999999999999994,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.08,2.49,0.0,0.35200000000000004,0.03,0.214,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.09,0.036000000000000004,0.0,0.69,0.0,8.96
117,149_V,0.0,0.4787234042553192,0.07872340425531915,0.4425531914893617,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.228,0.45,0.07400000000000001,0.0,0.052000000000000005,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.022000000000000002,0.0,0.0,0.0,0.0,0.0,2.13
118,150_V,0.10900473933649288,0.8767772511848342,0.0,0.014218009478672987,0.8440000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.092,0.0,2.34
119,151_V,0.0,0.0,0.3918367346938775,0.6081632653061225,0.49,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0
120,152_V,0.5243393602225314,0.055632823365785816,0.06397774687065369,0.35605006954102925,1.4380000000000002,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.25,0.0,0.0,0.494,0.0,0.0,0.738,0.0,0.0,0.0,0.0,0.0,0.08,0.018000000000000002,0.0,0.006,0.0,0.0,0.0,0.016,0.0,0.36
121,153_V,0.0,0.0,0.6111111111111112,0.38888888888888895,0.07200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
122,154_V,0.06378132118451024,0.6150341685649202,0.22854973424449504,0.0926347760060744,2.6340000000000003,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,2.53,0.0,0.0,0.1,1.62,0.0,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.168,0.11,0.0,0.0,0.168,0.0,6.66
123,155_V,0.0,0.21428571428571427,0.11111111111111112,0.6746031746031746,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054000000000000006,0.032,0.0,0.027999999999999997,0.0,0.0,0.0,0.0,0.0,0.3
124,156_V,0.4250871080139373,0.4645760743321719,0.0,0.11033681765389083,1.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.038,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.152,0.0,0.0,0.382,0.0,2.77
125,157_V,0.9982425307557118,0.0,0.0,0.001757469244288225,4.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.544,0.0,0.0
