,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight_(kg),energy_kWh_per_kg,total_energy_kWh,cardboard,paper,eps,plastic_bags,flexibles_film,other_plastic,jars,food,textiles,other_organics,aluminium_cans,steel_cans,lpb,pp,pet_bottles,nappies,aluminium_recyclable,batteries,other
77,79,0.0,0.0,0.027389903329752958,0.9726100966702471,7.4479999999999995,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.04,0.292,0.0,0.0,0.0,6.432,0.52,0.0,0.0,0.052,0.0,0.0,0.0,0.0
78,80,0.9299672427425733,0.013554727211114876,0.04563424827742009,0.010843781768891902,17.706000000000003,3.07,54.36,0.24,0.0,0.016,0.38,0.308,0.024,0.0,16.466,0.0,0.0,0.108,0.0,0.0,0.004,0.076,0.0,0.004,0.08,0.0
79,81,0.33130699088145893,0.0668693009118541,0.2826747720364742,0.3191489361702128,1.316,1.39,1.83,0.088,0.0,0.0,0.096,0.256,0.02,0.0,0.384,0.0,0.052,0.084,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,82,0.5115681233933163,0.09768637532133675,0.061696658097686374,0.32904884318766064,0.778,1.85,1.44,0.076,0.0,0.0,0.0,0.048,0.0,0.0,0.388,0.0,0.01,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,83,0.40425531914893614,0.0,0.19148936170212766,0.40425531914893614,0.188,1.5,0.28,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.076,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,84,0.6976744186046511,0.07973421926910298,0.07641196013289035,0.14617940199335544,1.204,2.52,3.03,0.092,0.004,0.0,0.004,0.052,0.004,0.0,0.84,0.0,0.0,0.176,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0
83,85,0.6149068322981366,0.05590062111801243,0.2298136645962733,0.09937888198757763,0.644,2.47,1.59,0.032,0.0,0.016,0.0,0.132,0.0,0.0,0.36,0.004,0.036,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,86,0.8540145985401459,0.0,0.038321167883211674,0.10766423357664232,2.192,2.77,6.07,0.0,0.0,0.0,0.032,0.052,0.0,0.0,1.872,0.0,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,87,0.9891304347826086,0.0,0.010869565217391304,0.0,0.368,3.12,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0
86,88,0.7278106508875739,0.03550295857988165,0.23668639053254437,0.0,2.028,2.89,5.86,0.072,0.0,0.0,0.04,0.08,0.36,0.0,1.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,89,0.8546511627906976,0.006782945736434108,0.06201550387596899,0.07655038759689922,4.128,2.85,11.76,0.0,0.0,0.0,0.0,0.216,0.04,0.0,3.528,0.0,0.0,0.112,0.204,0.028,0.0,0.0,0.0,0.0,0.0,0.0
88,90,0.7796610169491525,0.0423728813559322,0.11016949152542371,0.06779661016949151,2.3600000000000003,2.8,6.61,0.076,0.024,0.028,0.068,0.0,0.0,0.0,0.724,0.0,0.0,0.16,0.0,0.0,0.092,0.072,1.116,0.0,0.0,0.0
89,91,0.0,0.0,0.78125,0.21875,0.256,0.0,0.0,0.0,0.0,0.036,0.036,0.124,0.004,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,92,0.9673913043478262,0.0,0.009420289855072464,0.023188405797101453,5.52,3.05,16.84,0.0,0.0,0.0,0.0,0.052,0.0,0.0,5.34,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,93,1.0,0.0,0.0,0.0,1.108,3.12,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,94,0.9180977542932628,0.02642007926023778,0.005284015852047555,0.050198150594451776,3.028,2.95,8.93,0.08,0.0,0.0,0.0,0.016,0.0,0.0,2.712,0.0,0.068,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
