,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight_(kg),energy_kWh_per_kg,total_energy_kWh,eps,plastic_bags,pet_bottles,pp,flexibles_film,other_plastic,feminine_hygiene,cardboard,drinkbags,nappies,hdpe_bottles,paper,aluminium_cans,jars,other_organics,food,lpb,aluminium_recyclable,steel_cans,other_sanitary_waste,textiles,other,bottles_wine_and_spirits,bottles_cds,other_metal,other_glass
103,104,0.6807465618860511,0.06155861165684348,0.0322527832351015,0.2254420432220039,6.1080000000000005,2.32,14.17,0.035,0.02,0.084,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.376,0.258,0.0,0.0,4.158,0.0,0.061,0.0,0.0,0.0,0.01,1.048,0.0,0.0,0.0
104,105,0.5583375062593892,0.020030045067601403,0.2669003505257887,0.15473209814722083,1.997,2.24,4.47,0.104,0.166,0.12,0.051,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.115,0.0,0.004,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,106,0.997096399535424,0.0,0.0029036004645760743,0.0,6.888,3.12,21.49,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,107,0.6753517457008859,0.023449713392391873,0.19993051936772627,0.101268021538996,5.7570000000000014,2.58,14.85,0.03,0.181,0.49,0.0,0.078,0.025,0.038,0.0,0.0,0.0,0.347,0.105,0.0,0.0,0.0,3.85,0.03,0.085,0.0,0.0,0.0,0.0,0.498,0.0,0.0,0.0
107,108,0.23090586145648312,0.1758436944937833,0.5932504440497336,0.0,0.563,1.27,0.72,0.052,0.073,0.189,0.0,0.003,0.017,0.13,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,109,0.5006418485237484,0.06846384253316216,0.40094137783483097,0.029952931108258446,2.3369999999999997,2.29,5.35,0.058,0.307,0.081,0.005,0.142,0.3,0.0,0.0,0.0,0.0,0.044,0.078,0.014,0.0,0.05,1.12,0.082,0.005,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,110,0.7393899204244032,0.07924403183023873,0.10676392572944297,0.07460212201591511,3.0160000000000005,2.73,8.23,0.034,0.209,0.0,0.0,0.079,0.0,0.09,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,2.14,0.0,0.045,0.18,0.0,0.069,0.0,0.0,0.0,0.0,0.0
110,111,0.7157048249763481,0.026490066225165566,0.16083254493850518,0.09697256385998108,2.114,2.65,5.6,0.017,0.0,0.173,0.027,0.09,0.0,0.0,0.0,0.033,0.0,0.0,0.056,0.0,0.145,0.0,0.502,0.0,0.06,0.0,1.011,0.0,0.0,0.0,0.0,0.0,0.0
111,112,0.9013893595391391,0.03896984073195527,0.04337512707556761,0.01626567265333785,2.9509999999999996,3.04,8.97,0.003,0.04,0.063,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.598,0.0,0.0,0.048,2.062,0.0,0.0,0.0,0.0,0.0,0.0
112,113,0.15960743801652896,0.0,0.3517561983471075,0.48863636363636365,1.9360000000000004,0.67,1.3,0.032,0.278,0.15,0.008,0.0,0.213,0.281,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.028,0.0,0.01,0.048,0.0,0.0,0.0,0.0,0.632,0.0,0.0
113,114,0.39060710194730813,0.010882016036655213,0.145475372279496,0.45303550973654066,1.7460000000000002,1.41,2.46,0.08,0.14,0.0,0.0,0.024,0.01,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.112,0.082,0.497,0.0,0.0,0.0,0.597,0.0,0.0
114,115,0.5214105793450883,0.0806045340050378,0.346767422334173,0.051217464315701094,2.382,2.32,5.53,0.014,0.0,0.155,0.0,0.119,0.0,0.523,0.192,0.24,0.0,0.298,0.0,0.0,0.0,0.0,0.719,0.0,0.036,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,116,0.7515445184736524,0.06626287098728045,0.04482132041187159,0.13737129012719565,8.254999999999999,2.6,21.46,0.0,0.05,0.1,0.017,0.125,0.026,0.0,0.0,0.0,5.502,0.052,0.526,0.0,0.0,0.0,0.702,0.0,0.003,0.146,0.0,0.021,0.985,0.0,0.0,0.0,0.0
116,117,0.7574671445639187,0.0653126244524094,0.09916367980884111,0.07805655117483075,2.511,2.75,6.91,0.028,0.117,0.052,0.0,0.041,0.011,0.0,0.0,0.0,1.684,0.0,0.164,0.0,0.154,0.0,0.218,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,118,0.5203725261932479,0.0,0.15832363213038417,0.3213038416763679,1.7180000000000002,1.88,3.23,0.0,0.087,0.026,0.0,0.156,0.003,0.221,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.528,0.0,0.016,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.386
118,119,0.45669957686882934,0.0,0.5094499294781383,0.033850493653032436,3.545,2.15,7.62,0.072,0.082,0.113,0.01,0.068,1.318,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.832,0.0,0.081,0.039,0.787,0.0,0.0,0.0,0.0,0.0,0.0
119,120,0.11199421965317918,0.6076589595375722,0.14378612716763006,0.1365606936416185,1.384,0.61,0.84,0.0,0.075,0.0,0.0,0.124,0.0,0.155,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647,0.189,0.0,0.0,0.0,0.0
120,121,0.40804597701149425,0.048850574712643674,0.464080459770115,0.07902298850574713,2.0879999999999996,1.93,4.03,0.041,0.15,0.249,0.019,0.005,0.5,0.0,0.102,0.005,0.0,0.0,0.0,0.0,0.0,0.45,0.402,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157
121,122,0.5986339895540378,0.07513057452792286,0.3262354359180394,0.0,2.489,2.62,6.52,0.026,0.224,0.154,0.022,0.26,0.0,0.0,0.187,0.0245,0.0,0.077,0.0,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,123,0.806344410876133,0.0,0.11601208459214502,0.07764350453172206,3.3099999999999996,2.81,9.3,0.0,0.122,0.146,0.0,0.013,0.0,0.451,0.0,0.025,0.0,0.078,0.0,0.0,0.113,0.0,0.65,0.0,0.099,0.045,1.568,0.0,0.0,0.0,0.0,0.0,0.0
123,124,0.6582537517053206,0.05866302864938608,0.23124147339699866,0.05184174624829468,1.4659999999999997,2.65,3.88,0.071,0.075,0.14,0.013,0.02,0.01,0.0,0.0,0.005,0.0,0.0,0.031,0.073,0.0,0.0,0.965,0.055,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,125,0.7388247112004018,0.06454043194374687,0.16122551481667505,0.0354093420391763,3.9819999999999998,2.82,11.23,0.173,0.095,0.186,0.038,0.076,0.036,0.0,0.0,0.0,0.0,0.038,0.257,0.0,0.0,0.0,2.711,0.0,0.049,0.092,0.231,0.0,0.0,0.0,0.0,0.0,0.0
125,126,0.8392429845551447,0.006525995214270177,0.12660430715684146,0.027626713073743748,4.5969999999999995,2.97,13.65,0.093,0.093,0.084,0.0,0.216,0.01,0.391,0.0,0.053,0.066,0.033,0.03,0.0,0.0,0.0,3.401,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,127,0.6864667974222471,0.017652003362286353,0.25329223872233114,0.042588960493135326,3.569,2.72,9.71,0.205,0.05,0.436,0.005,0.107,0.0,1.58,0.0,0.064,0.24,0.037,0.063,0.0,0.152,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,128,0.728494623655914,0.11798088410991636,0.10155316606929511,0.05197132616487455,3.348,2.77,9.27,0.015,0.074,0.07,0.005,0.051,0.044,0.0,0.0,0.0,0.0,0.081,0.351,0.0,0.0,0.0,1.193,0.044,0.0,0.174,1.246,0.0,0.0,0.0,0.0,0.0,0.0
128,129,0.8330911732655285,0.10297856883399924,0.04449691245913548,0.01943334544133672,5.506000000000001,2.98,16.41,0.044,0.065,0.118,0.0,0.006,0.012,0.0,0.069,0.0,0.0,0.0,0.159,0.0,0.0,0.0,4.416,0.0,0.005,0.0,0.171,0.339,0.0,0.0,0.0,0.102,0.0
129,130,0.6031128404669261,0.15408560311284047,0.1875486381322957,0.055252918287937755,2.57,2.52,6.48,0.044,0.024,0.102,0.042,0.217,0.018,0.0,0.292,0.0,0.0,0.035,0.104,0.0,0.0,0.0,0.562,0.0,0.005,0.137,0.988,0.0,0.0,0.0,0.0,0.0,0.0
